Name,Short_Desc,Address,Description,Website,Pic_URL
Trio,Cool contemporary restaurant in the Uptown Design District,"707 N Palm Canyon Dr, Palm Springs, CA 92262",Trendy atmosphere with nicely designed interior. Can be pricey.,http://www.triopalmsprings.com,http://downloads.esri.com/blogs/places/palmsprings/restaurant_trio.png
El Mirasol at Los Arboles,Mexican restaurant in very attractive building with a walled garden patio.,"266 Via Altamira, Palm Springs, CA 92262","There are two El Mirasol restaurants in town. This is the nicest of the two, with indoor and outdoor seating in an attractive adobe-style building, with a very pleasant walled garden patio.",http://www.elmirasolrestaurants.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_el_mirasol.png
Copley's on Palm Canyon,Upscale fine American cuisine in part of Cary Grant's old estate.,"621 North Palm Canyon Drive, Palm Springs, CA 92262","Expensive, classy, but casual dinner experience. Eat inside in the former 1940's guesthouse of Cary Grant's estate, or on the mountain-view patio. Reservations recommended.",http://www.copleyspalmsprings.com,http://downloads.esri.com/blogs/places/palmsprings/restaurant_copleys.png
Cheeky's,Very popular breakfast and lunch spot.,"622 North Palm Canyon Drive, Palm Springs, CA 92262","Very popular spot for breakfast or lunch in the Uptown Design District. Interesting menu with items like 'garnet yam hash with maple sage sausage and poached eggs' and 'omelette with rainbow chard, serrano chile, roasted cumin and drunken goat cheese'.",http://www.cheekysps.com,http://downloads.esri.com/blogs/places/palmsprings/restaurant_cheekys.png
Cafe Europa,Breakfast and lunch place with patio in nice courtyard.,"515 North Palm Canyon, Palm Springs, CA 92262",Cafe Europa offers cafe/bistro style food and a trendy atmosphere. The businesses in this building share a courtyard garden with views of the mountains. It's located at the south end of the Uptown Design District.,http://www.cafeeuropapalmsprings.com/,http://downloads.esri.com/blogs/places/palmsprings/cafe_europa.png
Koffi,Hip coffee bar with nice courtyard.,"515 North Palm Canyon Drive, Palm Springs, CA 92262",Hip coffee bar in historic commercial building. A secret garden courtyard out back known only to locals has beautiful mountain vistas. Free wi-fi.,http://www.kofficoffee.com,http://downloads.esri.com/blogs/places/palmsprings/cafe_koffi.png
Purple Palm Restaurant and Bar,Very romantic hideway in quiet small hotel.,"572 North Indian Canyon Drive, Palm Springs, CA 92262",Hidden away in the beautiful Colony Palms Hotel you'll find this glamorous small restaurant with indoor or poolside seating in the garden. Expensive.,http://www.colonypalmshotel.com/dining.php,http://downloads.esri.com/blogs/places/palmsprings/restaurant_purple_palm.png
Tyler's Burgers,Local institution widely considered best burger in town.,"149 S Indian Canyon Dr, Palm Springs, CA 92262",Tyler's has been here in the Mercado Plaza for years serving a classic menu of burgers and sandwiches. A recent Los Angeles Times story said that if you ask almost anyone in Palm Springs where to get a great burger the answer probably is Tyler's.,http://tylersburgers.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_tylers.png
Sherman's Deli and Bakery,Old school Jewish deli and local institution close to Convention Center.,"401 E Tahquitz Canyon Way, Palm Springs, CA 92262.",This old school Kosher-style family restaurant is a local institution popular with residents and people attending conferences at the nearby Convention Center.,http://www.shermansdeli.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_shermans.png
Palm Greens Cafe,Friendly place with healthy food and nice atmosphere.,"611 S. Palm Canyon Drive, Palm Springs, CA 92264",Very friendly place serving healthy high quality organic food. This is your best bet for wholefood type dining in Palm Springs. Fresh squeezed juices and smoothies too. Nice environment.,http://palmgreenscafe.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_palm_greens.png
Monsoon Indian Cuisine,Great food from the Indian sub-continent.,"555 S Sunrise Way, Palm Springs, CA 92264",Indian restaurant in rather out-of-the-way location. Buffet lunch offered daily too. Meat and vegetarian entrees.,http://monsoonindianrestaurant.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_monsoon.png
Aspen Mills Bakery & Bread Company,Popular local bakery and lunch place.,"555 S Sunrise Way, Palm Springs, CA 92264","Locals flock here for fresh-baked daily breads, muffins, and cookies, and for their sandwiches and salads. They also have two locations in Rancho Mirage to the east.",http://aspenmillsps.com/,http://downloads.esri.com/blogs/places/palmsprings/cafe_aspen_mills.png
Kings Highway,Reimagined hipster diner in the Ace Hotel.,"701 E. Palm Canyon Dr, Palm Springs, CA 92264","The Kings Highway is a reimagined American diner serving seasonal and organic food in a renovated building that used to be a Denny's. Breakfast, lunch, dinner and late nite. The Amigo Room, a dark cocktail lounge, is adjacent behind the hotel lobby.",http://www.acehotel.com/palmsprings/dining,http://downloads.esri.com/blogs/places/palmsprings/restaurant_kings_highway.png
Koffi,Hip coffee bar part of stylish new development.,"1700 South Camino Real, Palm Springs, CA 92264",Hip coffee bar with cool contemporary design (part of the Oceo development). They also have a location in downtown Palm Springs in the Uptown Design District. This location is just north of the Twin Palms Estates neighborhood. Free wi-fi.,http://www.kofficoffee.com,http://downloads.esri.com/blogs/places/palmsprings/cafe_koffi.png
Escena Lounge & Grill,Super views over the greens at this restaurant in a golf club.,"1100 Clubhouse View Dr, Palm Springs, CA 92262","Golf is a big part of the Palm Springs experience so here's a restaurant on a public golf course. This is often recommended by locals. There are dramatic views to the mountains from the patio dining area or sit indoors in classy, bright, attractive room.",http://links.esri.com/palmsprings/places/escena_grill,http://downloads.esri.com/blogs/places/palmsprings/restaurant_escena_grill.png
