Number,Address2,City,State,Zip,Title,Short_Desc,Address,Hours,Desc1,Desc2,Desc3,Desc4,Desc5,Website,Image_URL
1,707 N Palm Canyon Dr,Palm Springs,CA,92262,Trio,Cool contemporary restaurant in the Uptown Design District,"707 N Palm Canyon Dr, Palm Springs, CA 92262",Open daily. Lunch 11am to 2 pm. Dinner 4pm-10pm (11pm Fri and Sat).,Trendy atmosphere with nicely designed interior. Can be pricey.,They offer a three course fixed price menu from 11am to 6pm daily., , , ,http://www.triopalmsprings.com,http://downloads.esri.com/blogs/places/palmsprings/restaurant_trio.png
2,266 Via Altamira,Palm Springs,CA,92262,El Mirasol at Los Arboles,Mexican restaurant in very attractive building with a walled garden patio.,"266 Via Altamira, Palm Springs, CA 92262 (off North Indian Canyon Drive) in the Los Arboles Hotel.",Lunch and dinner. Brunch style selections 10am-2pm Fri-Sun.,"There are two El Mirasol restaurants in town. This is the nicest of the two, with indoor and outdoor seating in an attractive adobe-style building, with a very pleasant walled garden patio.","Specialities of the house include mole poblano, pollo en pipian (sauce made with ground roasted pumpkin seeds), and carne asada. Some vegetarian options too.",See their website for more about the menu and their unlisted menu items that are available on request if they have the ingredients., , ,http://www.elmirasolrestaurants.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_el_mirasol.png
3,621 North Palm Canyon Drive,Palm Springs,CA,92262,Copley's on Palm Canyon,Upscale fine American cuisine in part of Cary Grant's old estate.,"621 North Palm Canyon Drive, Palm Springs, CA 92262",Opens daily at 6pm except closed Mondays in summer and closed during mid-summer so check website.,"Expensive, classy, but casual dinner experience. Eat inside in the former 1940's guesthouse of Cary Grant's estate, or on the mountain-view patio. Reservations recommended.",Check their website for occasional special 'family style' communal dinner events., , , ,http://www.copleyspalmsprings.com,http://downloads.esri.com/blogs/places/palmsprings/restaurant_copleys.png
4,622 North Palm Canyon Drive,Palm Springs,CA,92262,Cheeky's,Very popular breakfast and lunch spot.,"622 North Palm Canyon Drive, Palm Springs, CA 92262",Daily 8am-2pm. Breakfast served throughout. Lunch is served after 11.30am.,"Very popular spot for breakfast or lunch in the Uptown Design District. Interesting menu with items like 'garnet yam hash with maple sage sausage and poached eggs' and 'omelette with rainbow chard, serrano chile, roasted cumin and drunken goat cheese'.", , , , ,http://www.cheekysps.com,http://downloads.esri.com/blogs/places/palmsprings/restaurant_cheekys.png
5,515 N Palm Canyon Drive,Palm Springs,CA,92262,Cafe Europa,Breakfast and lunch place with patio in nice courtyard.,"515 N Palm Canyon, Palm Springs, CA 92262",Summer: 8am-2.30pm (but check website). Winter: 9am-3.30pm.,Cafe Europa offers cafe/bistro style food and a trendy atmosphere. The businesses in this building share a courtyard garden with views of the mountains. It's located at the south end of the Uptown Design District., , , , ,http://www.cafeeuropapalmsprings.com/,http://downloads.esri.com/blogs/places/palmsprings/cafe_europa.png
6,515 North Palm Canyon Drive,Palm Springs,CA,92262,Koffi,Hip coffee bar with nice courtyard.,"515 North Palm Canyon Drive, Palm Springs, CA 92262 near the corner of West Alejo Road.",Daily 5.30am-7pm.,Hip coffee bar in historic commercial building. A secret garden courtyard out back known only to locals has beautiful mountain vistas. Free wi-fi.,They also have a location south of downtown on East Palm Canyon Drive., , , ,http://www.kofficoffee.com,http://downloads.esri.com/blogs/places/palmsprings/cafe_koffi.png
7,572 North Indian Canyon Drive,Palm Springs,CA,92262,Purple Palm Restaurant and Bar,Very romantic hideway in quiet small hotel.,"572 North Indian Canyon Drive, Palm Springs, CA 92262 in the Colony Palms Hotel",Daily 8am-10pm (Fri and Sat 11pm). Bar closes one hour after restaurant.,Hidden away in the beautiful Colony Palms Hotel you'll find this glamorous small restaurant with indoor or poolside seating in the garden. Expensive., , , , ,http://www.colonypalmshotel.com/dining.php,http://downloads.esri.com/blogs/places/palmsprings/restaurant_purple_palm.png
8,200 South Palm Canyon Drive,Palm Springs,CA,92262,Lulu California Bistro,"The great atmosphere, stylish building, and reasonable prices make this large restaurant one of the best places to eat in town.","200 South Palm Canyon Drive, Palm Springs, CA 92262",Daily 8am-10pm (Fri and Sat midnight).,"This recently opened huge, lively restaurant is exactly what Palm Springs needed: an attractive big-city style place to eat with a very extensive menu that is great value including many inexpensive options for dinner.","The glamorous indoor space is an two-level atrium with a 1930's club style mezzanine level. There is also an outdoor patio right on Palm Canyon Drive. Pizza, pasta, salads, seafood, salads, steak, quesadillas, pretty much everything.","Overall the great atmosphere, cool design, lively people, and good value makes this very hard to beat as a dining destination in Palm Springs.","See their website for specials, such as their three course fixed price meal served from 3pm-6pm daily. Also, it's always happy hour at the bar: starts at 11am and goes on until it closes, with many menu items available at the bar at half price.", ,http://www.lulupalmsprings.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_lulus_bistro.png
9,149 S Indian Canyon Drive,Palm Springs,CA,92262,Tyler's Burgers,Local institution widely considered best burger in town.,"149 S Indian Canyon Dr, Palm Springs, CA 92262",Mon-Sat 11am-4pm. Closed Sunday. Note: Cash only.,Tyler's has been here in the Mercado Plaza for years serving a classic menu of burgers and sandwiches. A recent Los Angeles Times story said that if you ask almost anyone in Palm Springs where to get a great burger the answer probably is Tyler's.,"They also serve soups, old-fashioned malts too, and chili. Beer too. Indoor and outdoor seating. The building dates back to 1936.  Inexpensive.", , , ,http://tylersburgers.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_tylers.png
10,401 E Tahquitz Canyon Way,Palm Springs,CA,92262,Sherman's Deli and Bakery,Old school Jewish deli and local institution close to Convention Center.,"401 E Tahquitz Canyon Way, Palm Springs, CA 92262. Opposite the Hilton Palm Springs Hotel between Calle Encilia and Calle El Segundo.",Daily 7am-9pm.,This old school Kosher-style family restaurant is a local institution popular with residents and people attending conferences at the nearby Convention Center.,"Particularly good for breakfast with big omlettes, waffles, and kosher favorites like bagels and lox, whitefish, kippers, and gefilte fish. Huge lunch and dinner menu includes big sandwiches, roast brisket, cheese blintzes, meatloaf, and so on.",Dessert includes New York cheese cake. Indoor or patio seating., , ,http://www.shermansdeli.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_shermans.png
11,611 S. Palm Canyon Drive,Palm Springs,CA,92264,Palm Greens Cafe,Friendly place with healthy food and nice atmosphere.,"611 S. Palm Canyon Drive, Palm Springs, CA 92264 in shopping mall",Daily 7am-3pm for lunch. 5pm - 9pm for dinner. Check with restaurant because hours are seasonal.,Very friendly place serving healthy high quality organic food. This is your best bet for wholefood type dining in Palm Springs. Fresh squeezed juices and smoothies too. Nice environment.,Great place for brunch after an early morning hike., , , ,http://palmgreenscafe.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_palm_greens.png
12,555 S Sunrise Way,Palm Springs,CA,92264,Monsoon Indian Cuisine,Great food from the Indian sub-continent.,"555 S Sunrise Way #107, Palm Springs, CA 92264",Lunch Mon-Fri 11am-3pm Sat-Sun 11.30am-3pm. Dinner daily 5pm-10pm.,Indian restaurant in rather out-of-the-way location. Buffet lunch offered daily too. Meat and vegetarian entrees., , , , ,http://monsoonindianrestaurant.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_monsoon.png
13,555 S Sunrise Way,Palm Springs,CA,92264,Aspen Mills Bakery & Bread Company,Popular local bakery and lunch place.,"555 S Sunrise Way, Palm Springs, CA 92264",Mon-Sat 7am-6:30pm,"Locals flock here for fresh-baked daily breads, muffins, and cookies, and for their sandwiches and salads. They also have two locations in Rancho Mirage to the east.","If you launch their website, don't be deterred by the music that starts playing.", , , ,http://aspenmillsps.com/,http://downloads.esri.com/blogs/places/palmsprings/cafe_aspen_mills.png
14,"701 E. Palm Canyon Dr, Palm Springs, CA 92264 in the Ace Hotel",Palm Springs,CA,92264,Kings Highway,Reimagined hipster diner in the Ace Hotel.,"701 E. Palm Canyon Dr, Palm Springs, CA 92264 in the Ace Hotel","Sun-Wed 7am-1am. Thu, Fri, Sat 7am-3am.","The Kings Highway is a reimagined American diner serving seasonal and organic food in a renovated building that used to be a Denny's. Breakfast, lunch, dinner and late nite. The Amigo Room, a dark cocktail lounge, is adjacent behind the hotel lobby.",Creative food and design. Perhaps too hip for some., , , ,http://www.acehotel.com/palmsprings/dining,http://downloads.esri.com/blogs/places/palmsprings/restaurant_kings_highway.png
15,1700 South Camino Real,Palm Springs,CA,92264,Koffi,Hip coffee bar part of stylish new development.,"1700 South Camino Real, Palm Springs, CA 92264. On the corner of South Camino Real and East Palm Canyon Drive.",Daily 5.30am-7pm.,Hip coffee bar with cool contemporary design (part of the Oceo development). They also have a location in downtown Palm Springs in the Uptown Design District. This location is just north of the Twin Palms Estates neighborhood. Free wi-fi., , , , ,http://www.kofficoffee.com,http://downloads.esri.com/blogs/places/palmsprings/cafe_koffi.png
16,1100 Clubhouse View Drive,Palm Springs,CA,92262,Escena Lounge & Grill,Super views over the greens at this restaurant in a golf club.,"1100 Clubhouse View Dr., Palm Springs, CA 92262",Sun-Thurs 6:30am-9pm. Fri-Sat 6:30am-10pm. Sunday Brunch 9am - 3pm.,"Golf is a big part of the Palm Springs experience so here's a restaurant on a public golf course. This is often recommended by locals. There are dramatic views to the mountains from the patio dining area or sit indoors in classy, bright, attractive room.",Definitely above average golf club dining in a very sleek and cool contemporary clubhouse that pays homage to the area's mid-century design. Breakfast and lunch are particularly good value. Check the website for fixed price dinner specials.,The golf course is by Nicklaus Design and has been named one of the top ten public courses in California by PGATOUR.com. Callaway clubs are available for rent.,"With the exception of Sunday, the grill opens at 6.30am so you can see the early morning sun dramatically lighting up the San Jacinto Mountains.", ,http://links.esri.com/palmsprings/places/escena_grill,http://downloads.esri.com/blogs/places/palmsprings/restaurant_escena_grill.png
